Branch,Number,Merged,Author,Title,Report,Beta,Release,SHA,URL,Comment
"main","11052","2026-06-01","app/dependabot","chore(deps): bump com.diffplug.spotless from 8.4.0 to 8.5.1","Exclude","-","THUNDERBIRD_21_0b1","-","b0efe4339565e408ce5b513726a81eb40ba645f2","https://github.com/thunderbird/thunderbird-android/pull/11052",""
"main","11047","2026-06-01","app/dependabot","chore(deps): bump requests from 2.34.0 to 2.34.2 in /scripts","Exclude","-","THUNDERBIRD_21_0b1","-","a0f25274f1264e98baf88456838ab88a88157800","https://github.com/thunderbird/thunderbird-android/pull/11047",""
"main","11063","2026-06-01","kryoseu","ci(github): prune stale nightly APKs from FTP latest folder after upload","Exclude","-","THUNDERBIRD_21_0b1","-","147b11d5b41d55af118eb59b40629d188d4572af","https://github.com/thunderbird/thunderbird-android/pull/11063",""
"main","11048","2026-06-01","app/dependabot","chore(deps): bump github/codeql-action from 4.35.4 to 4.35.5","Exclude","-","THUNDERBIRD_21_0b1","-","90e93911cdaaeee0e27a09c6f520f625fa988e08","https://github.com/thunderbird/thunderbird-android/pull/11048",""
"main","11051","2026-06-01","app/dependabot","chore(deps): bump org.jetbrains.kotlinx:kotlinx-datetime from 0.7.1 to 0.8.0","Exclude","-","THUNDERBIRD_21_0b1","-","00297cacb6d38161472ad2295d99b72328f87d36","https://github.com/thunderbird/thunderbird-android/pull/11051",""
"main","10886","2026-06-02","rafaeltonholo","chore(message-list): add legacy support for footer updates and trigger effects on footer click","Exclude","enable_message_list_new_state","THUNDERBIRD_21_0b1","-","08e2507bfb327e649bf2f82c997fdde38f7ab2e6","https://github.com/thunderbird/thunderbird-android/pull/10886",""
"main","11055","2026-06-02","app/dependabot","chore(deps): bump io.github.java-diff-utils:java-diff-utils from 4.16 to 4.17","Exclude","-","THUNDERBIRD_21_0b1","-","49e1eab7e2df55ac83ec02e6e3f8c370ac4843c1","https://github.com/thunderbird/thunderbird-android/pull/11055",""
"main","11084","2026-06-03","app/github-actions","chore(i18n): translations update from Weblate","Include","-","THUNDERBIRD_21_0b1","-","9d0e7dd836440874965183b7727ae698149cf3f4","https://github.com/thunderbird/thunderbird-android/pull/11084",""
"main","11087","2026-06-03","rafaeltonholo","feat: enable Thundermail onboarding in release builds","Exclude","-","THUNDERBIRD_21_0b1","-","13a7624cd13a151534aac1e7baf63f509fccadae","https://github.com/thunderbird/thunderbird-android/pull/11087",""
"main","11092","2026-06-04","app/dependabot","chore(deps): bump dev.forkhandles:forkhandles-bom from 2.25.5.0 to 2.25.6.0","Exclude","-","THUNDERBIRD_21_0b1","-","630606ddf5c1d18da095bcc3e17d30974d906116","https://github.com/thunderbird/thunderbird-android/pull/11092",""
"main","11093","2026-06-04","app/dependabot","chore(deps): bump com.diffplug.spotless from 8.5.1 to 8.6.0","Exclude","-","THUNDERBIRD_21_0b1","-","13759ba12c46604efb9cb55f09e3f2f521fd232c","https://github.com/thunderbird/thunderbird-android/pull/11093",""
"main","11091","2026-06-04","app/dependabot","chore(deps): bump ch.qos.logback:logback-classic from 1.5.32 to 1.5.33","Exclude","-","THUNDERBIRD_21_0b1","-","9a4a1a301b2321c5e4b24b338437dd40764cda45","https://github.com/thunderbird/thunderbird-android/pull/11091",""
