Branch,Number,Merged,Author,Title,Report,Beta,Release,SHA,URL,Comment
"main","10962","2026-05-04","wmontwe","docs: add settings documentation","Exclude","-","THUNDERBIRD_20_0b1","THUNDERBIRD_20_0","18cd527d4b63d664654d74269b9e33351a55c44c","https://github.com/thunderbird/thunderbird-android/pull/10962",""
"main","10953","2026-05-04","wmontwe","fix(ci): ensure lables and pr body are properly escaped","Exclude","-","THUNDERBIRD_20_0b1","THUNDERBIRD_20_0","5fcd3aafd5063582740b18ab8a03353be479b714","https://github.com/thunderbird/thunderbird-android/pull/10953",""
"main","10927","2026-05-04","app/dependabot","chore(deps): bump r0adkll/upload-google-play from 1.1.3 to 1.1.5","Exclude","-","THUNDERBIRD_20_0b1","THUNDERBIRD_20_0","901b8d15944c1517f02276f9db6f49abe2407968","https://github.com/thunderbird/thunderbird-android/pull/10927",""
"main","10926","2026-05-04","app/dependabot","chore(deps): bump github/codeql-action from 4.35.1 to 4.35.2","Exclude","-","THUNDERBIRD_20_0b1","THUNDERBIRD_20_0","0e3428d3e3c938cd8accf426d6233a07aae32c23","https://github.com/thunderbird/thunderbird-android/pull/10926",""
"main","10796","2026-05-04","untitaker","fix(message-view): Respect animation setting when displaying message body","Include","-","THUNDERBIRD_20_0b1","THUNDERBIRD_20_0","60091bcfc68bdc42b3d728d32c68c35e113d8ca8","https://github.com/thunderbird/thunderbird-android/pull/10796",""
"main","10954","2026-05-05","coreycb","chore(ci): Add validate-milestones workflow","Review","-","THUNDERBIRD_20_0b1","THUNDERBIRD_20_0","ac20b594c6ef4a2cf64b1c82707bda3aa872d147","https://github.com/thunderbird/thunderbird-android/pull/10954",""
"main","10985","2026-05-05","rafaeltonholo","feat(thundermail): onboard thundermail into the app","Highlight","thundermail_onboarding_enabled","THUNDERBIRD_20_0b1","THUNDERBIRD_20_0","13d7a9b71c9e9c7e1c3ca5d16d4a61356f424952","https://github.com/thunderbird/thunderbird-android/pull/10985",""
"main","10943","2026-05-06","wmontwe","refactor(theme2): consolidate theme2 modules into a single module","Exclude","-","THUNDERBIRD_20_0b1","THUNDERBIRD_20_0","ed6c77da1bb29562951a5b44658639827e948006","https://github.com/thunderbird/thunderbird-android/pull/10943",""
"main","10979","2026-05-06","app/dependabot","chore(deps): bump ktor from 3.4.2 to 3.4.3","Exclude","-","THUNDERBIRD_20_0b1","THUNDERBIRD_20_0","2bb5c495dce7e5af6554b52af2ccae8c4f15e22c","https://github.com/thunderbird/thunderbird-android/pull/10979",""
"main","10986","2026-05-06","wmontwe","fix: theme2 import","Exclude","-","THUNDERBIRD_20_0b1","THUNDERBIRD_20_0","7512caab3e8b497d2fb4faf9cba04a7f3f3dea4c","https://github.com/thunderbird/thunderbird-android/pull/10986",""
"main","10982","2026-05-06","app/dependabot","chore(deps): bump commons-io:commons-io from 2.21.0 to 2.22.0","Exclude","-","THUNDERBIRD_20_0b1","THUNDERBIRD_20_0","6a82741b70dadee9f3abb0bc34a0ce3f86d11537","https://github.com/thunderbird/thunderbird-android/pull/10982",""
"main","10981","2026-05-06","app/dependabot","chore(deps): bump gradle-wrapper from 9.4.1 to 9.5.0","Exclude","-","THUNDERBIRD_20_0b1","THUNDERBIRD_20_0","eae8250c4f618b8149d6fd47c83f9a3ddf89904a","https://github.com/thunderbird/thunderbird-android/pull/10981",""
"main","10966","2026-05-06","dani-zilla","docs(feature-flag) new document describing feature flags","Exclude","-","THUNDERBIRD_20_0b1","THUNDERBIRD_20_0","fb1baad114168cb49873adc8f6165df1ce55210a","https://github.com/thunderbird/thunderbird-android/pull/10966",""
"main","10786","2026-05-06","mvanhorn","fix(notifications): respect showContactPicture setting for notification avatars","Include","-","THUNDERBIRD_20_0b1","THUNDERBIRD_20_0","280f07363d2862a8ee98cc67a20d519513b06365","https://github.com/thunderbird/thunderbird-android/pull/10786",""
"main","10940","2026-05-07","wmontwe","chore(weblate-cli): add weblate create and delete operations","Exclude","-","THUNDERBIRD_20_0b1","THUNDERBIRD_20_0","37812ef03e4a4bc67aeb37131fe69f12a95555b2","https://github.com/thunderbird/thunderbird-android/pull/10940",""
"main","10980","2026-05-07","app/dependabot","chore(deps): bump com.google.devtools.ksp from 2.3.6 to 2.3.7","Exclude","-","THUNDERBIRD_20_0b1","THUNDERBIRD_20_0","1e0bda6c76c6c1218842661fe8592b2fb079ea15","https://github.com/thunderbird/thunderbird-android/pull/10980",""
"main","10905","2026-05-08","wmontwe","refactor: funding UI flow","Include","-","THUNDERBIRD_20_0b1","THUNDERBIRD_20_0","5ee1de93df21c61be248dba961e00c9655b777b6","https://github.com/thunderbird/thunderbird-android/pull/10905",""
"main","10959","2026-05-08","wmontwe","fix: wrong migration type for account settings upgrade 104","Include","-","THUNDERBIRD_20_0b1","THUNDERBIRD_20_0","17a9170f1a772dc561002300657c062cb70b4fe6","https://github.com/thunderbird/thunderbird-android/pull/10959",""
"main","10995","2026-05-08","rafaeltonholo","chore(thundermail): enable Thundermail onboarding in beta build","Exclude","thundermail_onboarding_enabled","THUNDERBIRD_20_0b1","THUNDERBIRD_20_0","e6a002879f111e47003c00ad28f7f144954b0fc4","https://github.com/thunderbird/thunderbird-android/pull/10995",""
"main","10997","2026-05-08","kryoseu","fix daily build workflow link in release doc","Review","-","THUNDERBIRD_20_0b1","THUNDERBIRD_20_0","607e9fff3176b4d56bded26c12740ff60ed5a8a7","https://github.com/thunderbird/thunderbird-android/pull/10997",""
"main","11006","2026-05-18","app/dependabot","chore(deps): bump github/codeql-action from 4.35.2 to 4.35.3","Exclude","-","THUNDERBIRD_20_0b1","THUNDERBIRD_20_0","57afd085c2300c8c2c73230ef4cacea723548705","https://github.com/thunderbird/thunderbird-android/pull/11006",""
"main","11025","2026-05-20","app/dependabot","chore(deps): bump actions/create-github-app-token from 3.1.1 to 3.2.0","Exclude","-","THUNDERBIRD_20_0b1","THUNDERBIRD_20_0","c17a71c34eaf9948724167a3c3bd7ec9707cd129","https://github.com/thunderbird/thunderbird-android/pull/11025",""
"main","11024","2026-05-20","app/dependabot","chore(deps): bump github/codeql-action from 4.35.3 to 4.35.4","Exclude","-","THUNDERBIRD_20_0b1","THUNDERBIRD_20_0","131e8b6943c578f00f16c32154a80d3b43cdefde","https://github.com/thunderbird/thunderbird-android/pull/11024",""
"main","11021","2026-05-20","app/dependabot","chore(deps): bump actions-rust-lang/setup-rust-toolchain from 1.16.0 to 1.16.1","Exclude","-","THUNDERBIRD_20_0b1","THUNDERBIRD_20_0","8c473ed958b93d66e185881c9e5ee276247a2d3d","https://github.com/thunderbird/thunderbird-android/pull/11021",""
"main","11009","2026-05-21","wmontwe","fix: remove when-guards compiler args as it's the default now","Exclude","-","THUNDERBIRD_20_0b1","THUNDERBIRD_20_0","f51ed3a1c31199871704afb7a9e2e9c235641949","https://github.com/thunderbird/thunderbird-android/pull/11009",""
"main","11013","2026-05-21","wmontwe","refactor: mail to kotlin - part 1","Exclude","-","THUNDERBIRD_20_0b1","THUNDERBIRD_20_0","99df0b87db9e4c1740c83a309075d92348ad7548","https://github.com/thunderbird/thunderbird-android/pull/11013",""
"main","11014","2026-05-21","wmontwe","chore(build): fix formatting of JVM arguments in `gradle.properties`","Exclude","-","THUNDERBIRD_20_0b1","THUNDERBIRD_20_0","abd32291255646efe39c07508cc844e747da3890","https://github.com/thunderbird/thunderbird-android/pull/11014",""
"main","11023","2026-05-21","app/dependabot","chore(deps): bump requests from 2.33.1 to 2.34.0 in /scripts","Exclude","-","THUNDERBIRD_20_0b1","THUNDERBIRD_20_0","4a823eb3e3878161a437b18e49bcac3514406913","https://github.com/thunderbird/thunderbird-android/pull/11023",""
"main","11034","2026-05-21","coreycb","Bump versionName to 21.0","Exclude","-","THUNDERBIRD_21_0b1","-","71427d9e761d6f8e81d9032ed0f88ce7649b401f","https://github.com/thunderbird/thunderbird-android/pull/11034",""
"main","11035","2026-05-21","coreycb","chore(docs): Add more details to merge steps","Exclude","-","THUNDERBIRD_21_0b1","-","d78aa2d5e613bb9a690073c34a5805144fcc0ef6","https://github.com/thunderbird/thunderbird-android/pull/11035",""
"main","11030","2026-05-26","jim-daf","K9WebViewClient: log WebView main-frame load errors","Exclude","-","THUNDERBIRD_21_0b1","-","822704ac248792b64feffaac7889116486bb7633","https://github.com/thunderbird/thunderbird-android/pull/11030",""
"main","11026","2026-05-26","app/dependabot","chore(deps): bump kotlinxCoroutines from 1.10.2 to 1.11.0","Exclude","-","THUNDERBIRD_21_0b1","-","a6ba52d9c9d1c0c1f49990e139a4d50b51ff0955","https://github.com/thunderbird/thunderbird-android/pull/11026",""
"main","11027","2026-05-26","app/dependabot","chore(deps): bump dev.forkhandles:forkhandles-bom from 2.25.4.0 to 2.25.5.0","Exclude","-","THUNDERBIRD_21_0b1","-","2ddcad9a3063effc5c8f4aa6d25d8c67002f1497","https://github.com/thunderbird/thunderbird-android/pull/11027",""
"main","11053","2026-05-27","app/dependabot","chore(deps): bump com.google.devtools.ksp from 2.3.7 to 2.3.8","Exclude","-","THUNDERBIRD_21_0b1","-","c0a5106cd990cf4e5808f01a27dd1be21cd1780d","https://github.com/thunderbird/thunderbird-android/pull/11053",""
"main","11049","2026-05-27","app/dependabot","chore(deps): bump ktor from 3.4.3 to 3.5.0","Exclude","-","THUNDERBIRD_21_0b1","-","b74711c2110919072ef78c5a92b571ca67f40bf1","https://github.com/thunderbird/thunderbird-android/pull/11049",""
"main","11054","2026-05-27","app/dependabot","chore(deps): bump org.jetbrains.androidx.navigationevent:navigationevent-compose from 1.0.1 to 1.1.0","Exclude","-","THUNDERBIRD_21_0b1","-","c1dbf3b47a375af1afdc80012e7e6b2776f86bec","https://github.com/thunderbird/thunderbird-android/pull/11054",""
"main","11050","2026-05-27","app/dependabot","chore(deps): bump jetbrainsCompose from 1.10.3 to 1.11.0","Exclude","-","THUNDERBIRD_21_0b1","-","d132f0bb04c5445d03bee7ea4bd082178a0afcba","https://github.com/thunderbird/thunderbird-android/pull/11050",""
"main","10893","2026-05-28","shamim-emon","fix: Restoring backup from file doesn't respect 'swipe actions' setting","Include","-","THUNDERBIRD_21_0b1","-","60608fce3e2cffa99bde78d61d30f7a3df1b4894","https://github.com/thunderbird/thunderbird-android/pull/10893",""
"main","11005","2026-05-28","app/dependabot","chore(deps): bump mime4j from 0.8.13 to 0.8.14","Exclude","-","THUNDERBIRD_21_0b1","-","d69389758ef7650cf5a538fb8f7312a639ac612c","https://github.com/thunderbird/thunderbird-android/pull/11005",""
