Branch,Number,Merged,Author,Title,Report,Beta,Release,SHA,URL,Comment
"main","10612","2026-03-03","wmontwe","chore: improve ci config","Exclude","-","THUNDERBIRD_18_0b1","THUNDERBIRD_18_0","0e9adf41e039f1e9fd430d1175137cf5d2c94051","https://github.com/thunderbird/thunderbird-android/pull/10612",""
"main","10628","2026-03-03","app/dependabot","chore(deps): bump requests from 2.32.4 to 2.32.5 in /scripts","Exclude","-","THUNDERBIRD_18_0b1","THUNDERBIRD_18_0","862234244a71a6fbe98c1dc2a19522218260e64f","https://github.com/thunderbird/thunderbird-android/pull/10628",""
"main","10634","2026-03-03","app/dependabot","chore(deps): bump com.diffplug.spotless from 8.2.1 to 8.3.0","Exclude","-","THUNDERBIRD_18_0b1","THUNDERBIRD_18_0","af4a4ea07d0ca40df0b42bef68c7fb54abceadec","https://github.com/thunderbird/thunderbird-android/pull/10634",""
"main","10635","2026-03-03","app/dependabot","chore(deps): bump org.mockito:mockito-core from 5.21.0 to 5.22.0","Exclude","-","THUNDERBIRD_18_0b1","THUNDERBIRD_18_0","f34c9cb8b7c16b179d1b4ded87b8acc3401f6358","https://github.com/thunderbird/thunderbird-android/pull/10635",""
"main","10603","2026-03-03","rafaeltonholo","feat(message-list): add the Message List Compose UI foundation","Review","-","THUNDERBIRD_18_0b1","THUNDERBIRD_18_0","e0e4f93ec5178de2a1f30f0a6a6fad33d6afef7d","https://github.com/thunderbird/thunderbird-android/pull/10603",""
"main","10532","2026-03-03","timurgilfanov","refactor(message-list): move LocalDeleteOperationDecider to feature module","Exclude","-","THUNDERBIRD_18_0b1","THUNDERBIRD_18_0","254237f061a27de9bd7c53264ef174f324f64e61","https://github.com/thunderbird/thunderbird-android/pull/10532",""
"main","10598","2026-03-04","wmontwe","refactor: change navigation to kmp","Exclude","-","THUNDERBIRD_18_0b1","THUNDERBIRD_18_0","cec831a9cce4de012e210849e76d82410f510e83","https://github.com/thunderbird/thunderbird-android/pull/10598",""
"main","10630","2026-03-04","app/dependabot","chore(deps): bump pyyaml from 6.0.1 to 6.0.3 in /scripts","Exclude","-","THUNDERBIRD_18_0b1","THUNDERBIRD_18_0","a1e003885acf0420a17f1573569d17538c4898a7","https://github.com/thunderbird/thunderbird-android/pull/10630",""
"main","10601","2026-03-04","wmontwe","fix: build warnings","Review","-","THUNDERBIRD_18_0b1","THUNDERBIRD_18_0","c755f8017fdc58dc81838dae5f2cb8ccca22448b","https://github.com/thunderbird/thunderbird-android/pull/10601",""
"main","10645","2026-03-04","wmontwe","docs: fix drawer description","Exclude","-","THUNDERBIRD_18_0b1","THUNDERBIRD_18_0","1032e6507655d0c557143fd5c9b713df5b97a845","https://github.com/thunderbird/thunderbird-android/pull/10645",""
"main","10568","2026-03-04","mohitsatr","fix: add Toast to warn if attempting to send a message while offline","Review","-","THUNDERBIRD_18_0b1","THUNDERBIRD_18_0","d30e13f523be0c08751a7bfce31331a9e5e44228","https://github.com/thunderbird/thunderbird-android/pull/10568",""
"main","10646","2026-03-04","wmontwe","Bump AGP to 9.1","Include","-","THUNDERBIRD_18_0b1","THUNDERBIRD_18_0","e639cc47da0d3dd0376634574a4bb5c8d6c57eb7","https://github.com/thunderbird/thunderbird-android/pull/10646",""
"main","10639","2026-03-04","Neer-rn","fix #10494: correct storage key mapping in loadConfig() for interacti…","Include","-","THUNDERBIRD_18_0b1","THUNDERBIRD_18_0","b3a41ffb1637fbaf224dda8dd242aaaca673c68c","https://github.com/thunderbird/thunderbird-android/pull/10639",""
"main","10626","2026-03-04","dani-zilla","chore(github): added additional information to the pull request template","Exclude","-","THUNDERBIRD_18_0b1","THUNDERBIRD_18_0","8db2ae08ec857f21435356521660bc1f73160c0d","https://github.com/thunderbird/thunderbird-android/pull/10626",""
"main","10623","2026-03-04","shamim-emon","Migrate K9.lockScreenNotificationVisibility to PreferenceDataStore","Review","-","THUNDERBIRD_18_0b1","THUNDERBIRD_18_0","5cbab106c63b2aebd2620579fbe139dfa1feaca8","https://github.com/thunderbird/thunderbird-android/pull/10623",""
"main","10647","2026-03-05","rafaeltonholo","chore(design-system): remove MessageItem components from design system","Review","-","THUNDERBIRD_18_0b1","THUNDERBIRD_18_0","aa1dbca84afdec6f32ddfdcbf7cde96a6869d50c","https://github.com/thunderbird/thunderbird-android/pull/10647",""
"main","10596","2026-03-05","shamim-emon","feat(settings): modernize search settings using Jetpack Compose ","Review","-","THUNDERBIRD_18_0b1","THUNDERBIRD_18_0","cc2e9a09221fe3a36fff6c193ffc7f72e93a6ddb","https://github.com/thunderbird/thunderbird-android/pull/10596",""
"main","10616","2026-03-05","rafaeltonholo","chore(message-list): add previews and ui tests","Review","-","THUNDERBIRD_18_0b1","THUNDERBIRD_18_0","edd31561bc7bf4d442237cdb0c01377b8cbb0d83","https://github.com/thunderbird/thunderbird-android/pull/10616",""
"main","10560","2026-03-06","wmontwe","refactor(funding): decouple from billing client","Review","-","THUNDERBIRD_18_0b1","THUNDERBIRD_18_0","7c93e5d9c3d59694519b18e23825975aad200a1b","https://github.com/thunderbird/thunderbird-android/pull/10560",""
"main","10643","2026-03-06","rafaeltonholo","feat(designsystem): add message badge atoms","Review","-","THUNDERBIRD_18_0b1","THUNDERBIRD_18_0","5f50e1b1cfa0aca9772433eddf9d3c4a4b551fd4","https://github.com/thunderbird/thunderbird-android/pull/10643",""
"main","10650","2026-03-06","wmontwe","fix: build warnings part 2","Review","-","THUNDERBIRD_18_0b1","THUNDERBIRD_18_0","4b8faf6983afea356cc2f34e23bea119f4210266","https://github.com/thunderbird/thunderbird-android/pull/10650",""
"main","10642","2026-03-06","rafaeltonholo","feat(design-system): add `MessageConversationCounterBadge` components","Review","-","THUNDERBIRD_18_0b1","THUNDERBIRD_18_0","3e0c7bc8be6b4eda283121a5ff323c3bac2a3487","https://github.com/thunderbird/thunderbird-android/pull/10642",""
