Branch,Number,Merged,Author,Title,Report,Beta,Release,SHA,URL,Comment
"main","10459","2026-02-03","rafaeltonholo","fix(message-list): recycler view in stale state","Review","-","THUNDERBIRD_18_0b1","THUNDERBIRD_18_0","daffc4844d83a7a26dfedbc879d181fd95befb7a","https://github.com/thunderbird/thunderbird-android/pull/10459",""
"main","10464","2026-02-03","app/dependabot","chore(deps): bump gradle/actions from 5.0.0 to 5.0.1 in /.github/actions/setup-gradle","Exclude","-","THUNDERBIRD_18_0b1","THUNDERBIRD_18_0","2040bad5f316374303b54bde85b534c7776f4b2b","https://github.com/thunderbird/thunderbird-android/pull/10464",""
"main","10463","2026-02-03","app/dependabot","chore(deps): bump github/codeql-action from 4.32.0 to 4.32.1","Exclude","-","THUNDERBIRD_18_0b1","THUNDERBIRD_18_0","688c092fd84c51e06f1e1c44157582397ad9f2c6","https://github.com/thunderbird/thunderbird-android/pull/10463",""
"main","10461","2026-02-03","app/dependabot","chore(deps): bump gradle/actions from 5.0.0 to 5.0.1","Exclude","-","THUNDERBIRD_18_0b1","THUNDERBIRD_18_0","7575fa53a9684d53ca9cd74ff095f6fd7736e2c1","https://github.com/thunderbird/thunderbird-android/pull/10461",""
"main","10460","2026-02-03","wmontwe","fix: folder assignment","Include","-","THUNDERBIRD_18_0b1","THUNDERBIRD_18_0","64e28ab4ae17a4e60b57dc338109b09dc410be6d","https://github.com/thunderbird/thunderbird-android/pull/10460",""
"main","10462","2026-02-03","app/dependabot","chore(deps): bump org.jetbrains.kotlinx.kover from 0.9.4 to 0.9.5","Exclude","-","THUNDERBIRD_18_0b1","THUNDERBIRD_18_0","98ceedafbb14ba500a5c883c78a8431fef8e9152","https://github.com/thunderbird/thunderbird-android/pull/10462",""
"main","10465","2026-02-03","app/dependabot","chore(deps): bump com.google.devtools.ksp from 2.3.4 to 2.3.5","Exclude","-","THUNDERBIRD_18_0b1","THUNDERBIRD_18_0","fad3e52e6aa69166b7bdcb298b33212dd6e65c71","https://github.com/thunderbird/thunderbird-android/pull/10465",""
"main","10406","2026-02-04","dani-zilla","feat(message-list): Date/Time Format Option for Message List","Review","-","THUNDERBIRD_18_0b1","THUNDERBIRD_18_0","ba2d7a720adcdb5e6edb55784ef7d93a6531cc1e","https://github.com/thunderbird/thunderbird-android/pull/10406",""
"main","10466","2026-02-04","app/dependabot","chore(deps): bump ch.qos.logback:logback-classic from 1.5.26 to 1.5.27","Exclude","-","THUNDERBIRD_18_0b1","THUNDERBIRD_18_0","6b7834d544f155f241304016ab7c82ef2298c8a8","https://github.com/thunderbird/thunderbird-android/pull/10466",""
"main","10468","2026-02-04","coreycb","chore(ci): switch to fluid attacks SAST and SCA","Exclude","-","THUNDERBIRD_18_0b1","THUNDERBIRD_18_0","2d4d66454903adc7ca32f0ca5c6f896d8ab99c0c","https://github.com/thunderbird/thunderbird-android/pull/10468",""
"main","10476","2026-02-04","coreycb","chore(ci): set app-thunderbird beta suffix to b0","Exclude","-","THUNDERBIRD_18_0b1","THUNDERBIRD_18_0","7034daa48a3efc7328074a7a00fe428bedb8e764","https://github.com/thunderbird/thunderbird-android/pull/10476",""
"main","10478","2026-02-04","rafaeltonholo","fix(message-list): crash caused by using RelativeLayout on `message_list.xml` and not on `split_message_list.xml`","Review","-","THUNDERBIRD_18_0b1","THUNDERBIRD_18_0","dc621a6eea6b7be97bacb0eef679f9eda6481a62","https://github.com/thunderbird/thunderbird-android/pull/10478",""
